,image_name,Good,Usable,Reject
0,IDRiD_01.png,0.9616172,0.007599077,0.02430469
1,IDRiD_02.png,0.9703443,0.028113915,0.006744305
2,IDRiD_03.png,0.98554176,0.009122274,0.009683748
3,IDRiD_04.png,0.98745245,0.009888012,0.008352933
4,IDRiD_05.png,0.98758,0.009966552,0.008258836
5,IDRiD_06.png,0.97832894,0.016992174,0.010742421
6,IDRiD_07.png,0.9195743,0.0663082,0.014251007
7,IDRiD_08.png,0.98758113,0.009966778,0.008258462
8,IDRiD_09.png,0.98555183,0.011228192,0.009066768
9,IDRiD_10.png,0.11041166,0.7893121,0.08437395
10,IDRiD_11.png,0.84003407,0.04720382,0.08373735
11,IDRiD_12.png,0.98756915,0.009978863,0.00825467
12,IDRiD_13.png,0.9875732,0.009960248,0.008264689
13,IDRiD_14.png,0.9875673,0.009955472,0.008269267
14,IDRiD_15.png,0.97884184,0.00909541,0.013614234
15,IDRiD_16.png,0.9592367,0.02422064,0.015740974
16,IDRiD_17.png,0.9487065,0.032366034,0.020296853
17,IDRiD_18.png,0.98758113,0.009966834,0.008258427
18,IDRiD_19.png,0.98758113,0.009966768,0.0082584685
19,IDRiD_20.png,0.9875218,0.009922788,0.008304312
20,IDRiD_21.png,0.98758113,0.0099667115,0.008258523
21,IDRiD_22.png,0.9875808,0.009967117,0.008258375
22,IDRiD_23.png,0.98162985,0.01583248,0.007300265
23,IDRiD_24.png,0.111171685,0.8566526,0.053679395
24,IDRiD_25.png,0.95660394,0.03975519,0.0064354036
25,IDRiD_26.png,0.98687035,0.010748514,0.007889319
26,IDRiD_27.png,0.98758113,0.009966796,0.008258462
27,IDRiD_28.png,0.98758113,0.009966778,0.008258462
28,IDRiD_29.png,0.98758113,0.009966778,0.008258457
29,IDRiD_30.png,0.98755544,0.009945787,0.008278516
30,IDRiD_31.png,0.98758113,0.009966778,0.008258462
31,IDRiD_32.png,0.987581,0.0099669425,0.008258363
32,IDRiD_33.png,0.98757964,0.009965686,0.008259618
33,IDRiD_34.png,0.9875803,0.009966998,0.008258633
34,IDRiD_35.png,0.9868347,0.010603954,0.008342927
35,IDRiD_36.png,0.98758113,0.009966778,0.008258462
36,IDRiD_37.png,0.98758113,0.009966759,0.008258481
37,IDRiD_38.png,0.98167866,0.015518743,0.008113887
38,IDRiD_39.png,0.9864136,0.010567053,0.008729558
39,IDRiD_40.png,0.98758113,0.009966778,0.008258457
40,IDRiD_41.png,0.98758113,0.009966768,0.008258473
41,IDRiD_42.png,0.98758113,0.009966778,0.008258462
42,IDRiD_43.png,0.9875535,0.009981064,0.008266432
43,IDRiD_44.png,0.98758113,0.009966778,0.008258457
44,IDRiD_45.png,0.98748255,0.009926464,0.0083255675
45,IDRiD_46.png,0.9875563,0.009985959,0.008257638
46,IDRiD_47.png,0.98758113,0.00996681,0.008258446
47,IDRiD_48.png,0.9172325,0.06312938,0.02285331
48,IDRiD_49.png,0.9875793,0.00996564,0.008259719
49,IDRiD_50.png,0.05604925,0.9316514,0.05144866
50,IDRiD_51.png,0.98612183,0.011263397,0.008360213
51,IDRiD_52.png,0.9875786,0.009969517,0.008257567
52,IDRiD_53.png,0.9869222,0.010641962,0.0079872655
53,IDRiD_54.png,0.98758113,0.009966796,0.008258446
54,IDRiD_55.png,0.987575,0.009961781,0.008263267
55,IDRiD_56.png,0.98752415,0.009932667,0.008300056
56,IDRiD_57.png,0.98757845,0.009966076,0.008259734
57,IDRiD_58.png,0.98752534,0.0099860495,0.008285875
58,IDRiD_59.png,0.9875808,0.009966651,0.008258656
59,IDRiD_60.png,0.9432223,0.042672984,0.015059948
60,IDRiD_61.png,0.9874533,0.010113251,0.008176599
61,IDRiD_62.png,0.98758054,0.009966401,0.008258863
62,IDRiD_63.png,0.9867801,0.009692261,0.008784816
63,IDRiD_64.png,0.98757976,0.009967078,0.008258484
64,IDRiD_65.png,0.9875343,0.010008727,0.008246609
65,IDRiD_66.png,0.9664083,0.019157026,0.014526907
66,IDRiD_67.png,0.98749137,0.00999981,0.008293747
67,IDRiD_68.png,0.94674903,0.049027428,0.008442436
68,IDRiD_69.png,0.9874263,0.010116584,0.008221193
69,IDRiD_70.png,0.9875737,0.009974553,0.00825574
70,IDRiD_71.png,0.9567941,0.009239138,0.025608415
71,IDRiD_72.png,0.98756963,0.00997186,0.008263344
72,IDRiD_73.png,0.98756754,0.009955934,0.00826888
73,IDRiD_74.png,0.98758113,0.009966749,0.0082585
74,IDRiD_75.png,0.98758113,0.009966753,0.008258504
75,IDRiD_76.png,0.9875809,0.009966523,0.008258699
76,IDRiD_77.png,0.98757637,0.009970345,0.008257571
77,IDRiD_78.png,0.98291713,0.013847439,0.00899989
78,IDRiD_79.png,0.9875808,0.0099665,0.008258751
79,IDRiD_80.png,0.9875809,0.009966618,0.008258637
80,IDRiD_81.png,0.9651016,0.028608264,0.011025471
